"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Nodule apex",11,15,1,"Fail","medicago_truncatula","Root"
"Nodule parenchyma",11,9,1,"Fail","medicago_truncatula","Root"
"Non-hair",11,8,1,"Fail","medicago_truncatula","Root"
"Pericycle",11,9,1,"Fail","medicago_truncatula","Root"
"Phloem",11,8,1,"Fail","medicago_truncatula","Root"
"Root apical meristem",11,9,1,"Fail","medicago_truncatula","Root"
"Root cap",11,17,0.56797237753783,"Fail","medicago_truncatula","Root"
"Root cortex",11,18,0.994022089083871,"Fail","medicago_truncatula","Root"
"Root endodermis",11,8,1,"Fail","medicago_truncatula","Root"
"Root epidermis",11,10,0.815350435665631,"Fail","medicago_truncatula","Root"
"Root hair",11,12,1,"Fail","medicago_truncatula","Root"
"Root hair cell",11,7,1,"Fail","medicago_truncatula","Root"
"Root nodule",11,2,1,"Fail","medicago_truncatula","Root"
"Root stele",11,6,1,"Fail","medicago_truncatula","Root"
"Root vascular system",11,15,0.229447980506712,"Fail","medicago_truncatula","Root"
"Stem cell niche",11,13,1,"Fail","medicago_truncatula","Root"
"Xylem",11,13,1,"Fail","medicago_truncatula","Root"
"Cortex",12,6,1,"Fail","medicago_truncatula","Root"
"Nodule apex",12,4,1,"Fail","medicago_truncatula","Root"
"Nodule parenchyma",12,9,1,"Fail","medicago_truncatula","Root"
"Non-hair",12,7,1,"Fail","medicago_truncatula","Root"
"Pericycle",12,9,1,"Fail","medicago_truncatula","Root"
"Phloem",12,2,1,"Fail","medicago_truncatula","Root"
"Root apical meristem",12,15,0.56797237753783,"Fail","medicago_truncatula","Root"
"Root cap",12,5,1,"Fail","medicago_truncatula","Root"
"Root cortex",12,17,0.361307560974525,"Fail","medicago_truncatula","Root"
"Root endodermis",12,5,1,"Fail","medicago_truncatula","Root"
"Root epidermis",12,4,1,"Fail","medicago_truncatula","Root"
"Root hair",12,11,1,"Fail","medicago_truncatula","Root"
"Root hair cell",12,5,1,"Fail","medicago_truncatula","Root"
