"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Endodermis",10,6,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Epidermis",10,11,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Phloem parenchyma",10,6,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Photosynthetic cell",10,9,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Sieve element",10,28,0.385074224437554,"Fail","populus_alba_var_pyramidalis","Stem"
"Vascular cambium",10,2,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem",10,51,2.44474410294013e-07,"Reject","populus_alba_var_pyramidalis","Stem"
"Xylem parenchyma",10,8,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Companion cell",11,6,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cork cambium",11,11,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis",11,8,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis initial",11,8,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Endodermis",11,6,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Epidermis",11,7,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Phloem parenchyma",11,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Photosynthetic cell",11,11,0.559278395505022,"Fail","populus_alba_var_pyramidalis","Stem"
"Sieve element",11,11,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Vascular cambium",11,6,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem",11,17,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem parenchyma",11,14,0.245415078153123,"Fail","populus_alba_var_pyramidalis","Stem"
"Companion cell",12,4,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cork cambium",12,19,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis",12,10,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis initial",12,15,0.415894256674962,"Fail","populus_alba_var_pyramidalis","Stem"
"Endodermis",12,18,0.353063280766465,"Fail","populus_alba_var_pyramidalis","Stem"
"Epidermis",12,17,0.861990164830485,"Fail","populus_alba_var_pyramidalis","Stem"
"Phloem parenchyma",12,10,0.861990164830485,"Fail","populus_alba_var_pyramidalis","Stem"
"Photosynthetic cell",12,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Sieve element",12,17,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Vascular cambium",12,14,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem",12,26,0.650043154886165,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem parenchyma",12,3,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Companion cell",13,8,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cork cambium",13,23,0.613306923391208,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis",13,12,0.651514467624757,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis initial",13,9,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Endodermis",13,12,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Epidermis",13,12,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Phloem parenchyma",13,3,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Photosynthetic cell",13,6,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Sieve element",13,16,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Vascular cambium",13,10,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem",13,20,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem parenchyma",13,10,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Companion cell",14,10,0.529199930718888,"Fail","populus_alba_var_pyramidalis","Stem"
"Cork cambium",14,7,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis",14,7,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis initial",14,6,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Endodermis",14,6,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Epidermis",14,4,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Phloem parenchyma",14,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Photosynthetic cell",14,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Sieve element",14,28,6.83978333960174e-06,"Reject","populus_alba_var_pyramidalis","Stem"
"Vascular cambium",14,4,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem",14,8,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem parenchyma",14,3,1,"Fail","populus_alba_var_pyramidalis","Stem"
