"reference_cell_types","query_clusters","number_OMGs","p_value","negative_log10_p_value","significant"
"arabidopsis_thaliana Seed Radicle",0,7,1,0,"No"
"arabidopsis_thaliana Seed Shoot meristem initial cell",0,0,1,0,"No"
"arabidopsis_thaliana Seed Suspensor",0,2,1,0,"No"
"arabidopsis_thaliana Seed Vascular initial cell",0,9,0.30283279071747,0.518797101243863,"No"
"arabidopsis_thaliana Shoot axis apex Companion cell",0,15,0.259592635523911,0.585707632352002,"No"
"arabidopsis_thaliana Shoot axis apex G2/M phase",0,2,1,0,"No"
"arabidopsis_thaliana Shoot axis apex Guard cell",0,11,0.960843068520212,0.0173475384928845,"No"
"arabidopsis_thaliana Shoot axis apex Mesophyll",0,0,1,0,"No"
"arabidopsis_thaliana Shoot axis apex S phase",0,0,1,0,"No"
"arabidopsis_thaliana Shoot axis apex Shoot apical meristem",0,20,0.00914305747849238,2.03890854999984,"Yes"
"arabidopsis_thaliana Shoot axis apex Shoot system epidermis",0,6,1,0,"No"
"arabidopsis_thaliana Shoot axis apex Vascular tissue",0,25,5.82166451494706e-05,4.23495282526363,"Yes"
"arabidopsis_thaliana Stem Companion cell",0,6,1,0,"No"
"arabidopsis_thaliana Stem G2/M-phase cell",0,1,1,0,"No"
"arabidopsis_thaliana Stem Guard cell",0,4,1,0,"No"
"arabidopsis_thaliana Stem Leaf guard cell",0,9,0.532768752003723,0.273461255366142,"No"
"arabidopsis_thaliana Stem Mesophyll cell",0,1,1,0,"No"
"arabidopsis_thaliana Stem Proliferating cell",0,1,1,0,"No"
"arabidopsis_thaliana Stem S-phase cell",0,2,1,0,"No"
"arabidopsis_thaliana Stem Shoot apical meristem",0,6,1,0,"No"
"arabidopsis_thaliana Stem Shoot parenchyma",0,16,0.00731329974221863,2.13588662625799,"Yes"
"arabidopsis_thaliana Stem Shoot system cortex",0,12,0.527420051596382,0.277843363105113,"No"
"arabidopsis_thaliana Stem Shoot system endodermis",0,7,1,0,"No"
"arabidopsis_thaliana Stem Shoot system epidermis",0,4,1,0,"No"
"arabidopsis_thaliana Stem Shoot system vascular system",0,21,2.72886462536405e-05,4.56401800845457,"Yes"
"arabidopsis_thaliana Stem Sieve element",0,6,0.901673980890095,0.0449504623410403,"No"
"arabidopsis_thaliana Stem Xylem",0,4,1,0,"No"
"brassica_rapa Leaf Bundle sheath",0,16,0.0738014454679193,1.13193513204426,"No"
"brassica_rapa Leaf Bundle sheath cell",0,7,0.734257236583516,0.13415176452896,"No"
"brassica_rapa Leaf Leaf epidermis",0,4,1,0,"No"
"brassica_rapa Leaf Leaf guard cell",0,5,0.984887826688966,0.00661323044061176,"No"
"brassica_rapa Leaf Leaf lamina epidermis",0,2,1,0,"No"
"brassica_rapa Leaf Leaf vascular system",0,10,0.316363740707831,0.499813297971097,"No"
"brassica_rapa Leaf Meristematic cell",0,2,1,0,"No"
"brassica_rapa Leaf Mesophyll",0,0,1,0,"No"
"brassica_rapa Leaf Mesophyll cell",0,0,1,0,"No"
"brassica_rapa Leaf Phloem",0,3,1,0,"No"
"brassica_rapa Leaf Proliferating cell",0,2,1,0,"No"
"brassica_rapa Leaf Vascular tissue",0,16,0.20920960902546,0.679418372142737,"No"
"brassica_rapa Leaf Xylem",0,8,0.490538458036518,0.309326938420001,"No"
"catharanthus_roseus Leaf Idioblast cell",0,3,1,0,"No"
"catharanthus_roseus Leaf Leaf epidermis",0,9,1,0,"No"
"catharanthus_roseus Leaf Leaf guard cell",0,2,1,0,"No"
"catharanthus_roseus Leaf Leaf lamina epidermis",0,1,1,0,"No"
"catharanthus_roseus Leaf Leaf vascular system",0,9,0.434096983864866,0.362413231658181,"No"
"catharanthus_roseus Leaf Meristematic cell",0,3,1,0,"No"
"catharanthus_roseus Leaf Mesophyll",0,1,1,0,"No"
"catharanthus_roseus Leaf Mesophyll cell",0,1,1,0,"No"
