"reference_cell_types","query_clusters","number_OMGs","p_value","negative_log10_p_value","significant"
"populus_alba_var_pyramidalis Stem Photosynthetic cell",14,5,0.804237212727753,0.0946158355996635,"No"
"populus_alba_var_pyramidalis Stem Sieve element",14,28,5.03168336902913e-13,12.2982866957444,"Yes"
"populus_alba_var_pyramidalis Stem Vascular cambium",14,4,1,0,"No"
"populus_alba_var_pyramidalis Stem Xylem",14,8,0.734043467275628,0.134278222047134,"No"
"populus_alba_var_pyramidalis Stem Xylem parenchyma",14,3,1,0,"No"
"solanum_lycopersicum Leaf Leaf guard cell",14,2,1,0,"No"
"solanum_lycopersicum Leaf Leaf lamina epidermis",14,2,0.303255937548125,0.518190687183097,"No"
"solanum_lycopersicum Leaf Leaf trichome",14,11,0.0236850898292107,1.62552496380676,"Yes"
"solanum_lycopersicum Leaf Leaf vascular system",14,5,0.946029415050745,0.0240953597973436,"No"
"solanum_lycopersicum Leaf Mesophyll cell",14,1,1,0,"No"
"solanum_lycopersicum Root Atrichoblast",14,9,0.356301964098805,0.448181783613279,"No"
"solanum_lycopersicum Root Cortex",14,12,0.285122608506462,0.544968344387115,"No"
"solanum_lycopersicum Root Endodermis",14,6,1,0,"No"
"solanum_lycopersicum Root Exodermis",14,6,1,0,"No"
"solanum_lycopersicum Root MZ",14,2,1,0,"No"
"solanum_lycopersicum Root Pericycle",14,5,1,0,"No"
"solanum_lycopersicum Root Phloem_Procamb",14,16,0.0065353559785296,2.18473075157226,"Yes"
"solanum_lycopersicum Root RC_Col_QC",14,11,0.14116067222611,0.8502862821384,"No"
"solanum_lycopersicum Root Trichoblast",14,8,0.421645673011767,0.37505235210613,"No"
"solanum_lycopersicum Root Xylem",14,13,0.0579544236258416,1.23691340900201,"No"
"solanum_lycopersicum Shoot axis apex Leaf marginal meristem",14,6,0.722125864345116,0.141387099623507,"No"
"solanum_lycopersicum Shoot axis apex Meristematic cell",14,3,0.501586104377776,0.299654503428627,"No"
"solanum_lycopersicum Shoot axis apex Mesophyll",14,5,1,0,"No"
"solanum_lycopersicum Shoot axis apex Phloem",14,6,0.501586104377776,0.299654503428627,"No"
"solanum_lycopersicum Shoot axis apex Rib Zone",14,4,1,0,"No"
"solanum_lycopersicum Shoot axis apex Shoot system epidermis",14,5,1,0,"No"
"solanum_lycopersicum Shoot axis apex Trichome",14,9,0.339201236726838,0.469542572975871,"No"
"solanum_lycopersicum Shoot axis apex Xylem",14,0,1,0,"No"
"sorghum_bicolor Root Columella root cap cell",14,1,1,0,"No"
"sorghum_bicolor Root Lateral root cap",14,1,1,0,"No"
"sorghum_bicolor Root Pericycle cell",14,4,0.820206167643722,0.0860769693041256,"No"
"sorghum_bicolor Root Phloem",14,8,0.0630043090072773,1.2006297471482,"No"
"sorghum_bicolor Root Root cortex",14,2,1,0,"No"
"sorghum_bicolor Root Root endodermis",14,2,1,0,"No"
"sorghum_bicolor Root Root epidermis",14,1,1,0,"No"
"sorghum_bicolor Root Root stele",14,2,1,0,"No"
"sorghum_bicolor Root Xylem",14,7,0.309219683912775,0.509732868108803,"No"
"triticum_aestivum Root Columella root cap",14,1,1,0,"No"
"triticum_aestivum Root Columella root cap cell",14,3,1,0,"No"
"triticum_aestivum Root Companion cell",14,5,0.0946254624084516,1.02399198520972,"No"
"triticum_aestivum Root Meristematic cell",14,1,0.891451295353007,0.0499023796195837,"No"
"triticum_aestivum Root Metaxylem",14,1,1,0,"No"
"triticum_aestivum Root Pericycle",14,0,1,0,"No"
"triticum_aestivum Root Pericycle cell",14,1,1,0,"No"
"triticum_aestivum Root Phloem pole pericycle",14,0,1,0,"No"
"triticum_aestivum Root Phloem pole pericycle cell",14,2,1,0,"No"
"triticum_aestivum Root Protophloem",14,4,0.0896766761384853,1.04732049721802,"No"
"triticum_aestivum Root Protoxylem",14,5,0.0344781202717155,1.46245641969984,"Yes"
"triticum_aestivum Root Provascular",14,1,1,0,"No"
"triticum_aestivum Root Proximal meristem",14,0,1,0,"No"
"triticum_aestivum Root Root broder",14,0,1,0,"No"
"triticum_aestivum Root Root cap",14,0,1,0,"No"
"triticum_aestivum Root Root endodermis",14,1,1,0,"No"
"triticum_aestivum Root Root epidermis",14,0,1,0,"No"
"triticum_aestivum Root Root epidermis/Root cortex",14,1,1,0,"No"
"triticum_aestivum Root Root hair",14,3,0.541799088540271,0.266161729908727,"No"
"triticum_aestivum Root Root hair cell",14,1,1,0,"No"
"triticum_aestivum Root Root system ground meristem",14,4,0.615007325408657,0.211119711272371,"No"
"triticum_aestivum Root Root vascular system",14,4,0.580129748277813,0.236474863921048,"No"
"triticum_aestivum Root Sieve element",14,4,0.213094072221125,0.671428631174874,"No"
"triticum_aestivum Root Stem cell niche",14,3,0.541799088540271,0.266161729908727,"No"
"triticum_aestivum Root Xylem pole pericycle",14,3,0.774825086047623,0.110796326833041,"No"
"triticum_aestivum Root Xylem pole pericycle cell",14,1,1,0,"No"
"zea_mays Ear inflorescence Adaxial meristem periphery",14,6,0.481013695601285,0.317842558055715,"No"
"zea_mays Ear inflorescence Bundle sheath",14,7,0.2022541945106,0.694102462873079,"No"
"zea_mays Ear inflorescence Cortex",14,10,0.118116986765284,0.927687640676665,"No"
"zea_mays Ear inflorescence Determinate lateral organ",14,2,1,0,"No"
"zea_mays Ear inflorescence G2/M phase",14,5,0.892574347269927,0.04935559900928,"No"
"zea_mays Ear inflorescence Meristem base",14,4,0.580129748277813,0.236474863921048,"No"
"zea_mays Ear inflorescence Meristem boundary",14,8,0.0171976015735058,1.76453211681467,"Yes"
"zea_mays Ear inflorescence Meristem epidermis",14,4,0.99288062672979,0.00310296325582241,"No"
"zea_mays Ear inflorescence Phloem",14,15,1.20492104491225e-05,4.9190414102529,"Yes"
"zea_mays Ear inflorescence Pith",14,3,0.73731886735545,0.132344652732572,"No"
"zea_mays Ear inflorescence S phase",14,0,1,0,"No"
"zea_mays Ear inflorescence Xylem",14,6,0.259592635523911,0.585707632352002,"No"
"zea_mays Inflorescence Adaxial meristem periphery",14,6,0.101983502067044,0.991470078637634,"No"
"zea_mays Inflorescence Bundle sheath cell",14,6,1,0,"No"
"zea_mays Inflorescence Determinate lateral organ",14,3,0.774825086047623,0.110796326833041,"No"
"zea_mays Inflorescence Ear cortex",14,6,0.390638077771179,0.408225425769355,"No"
"zea_mays Inflorescence Meristem base",14,6,0.459189722493009,0.338007840807216,"No"
"zea_mays Inflorescence Meristem boundary",14,10,0.0157118332506352,1.80377313869112,"Yes"
"zea_mays Inflorescence Meristem epidermis layer",14,6,0.366520861282446,0.43590130156306,"No"
"zea_mays Inflorescence Phloem",14,12,0.000787201692369361,3.10391398090562,"Yes"
"zea_mays Inflorescence Xylem",14,0,1,0,"No"
"zea_mays Leaf Bundle sheath",14,1,1,0,"No"
"zea_mays Leaf Bundle sheath cell",14,1,1,0,"No"
"zea_mays Leaf Contamination",14,7,0.431745867639011,0.364771810495103,"No"
"zea_mays Leaf G2/M phase",14,1,1,0,"No"
"zea_mays Leaf Leaf epidermis",14,1,1,0,"No"
"zea_mays Leaf Leaf guard cell",14,1,1,0,"No"
"zea_mays Leaf Leaf lamina epidermis",14,1,1,0,"No"
"zea_mays Leaf Leaf pavement cell",14,4,0.770021758616137,0.113497002732179,"No"
"zea_mays Leaf Leaf primordium",14,0,1,0,"No"
"zea_mays Leaf Leaf subsidiary cell",14,1,1,0,"No"
"zea_mays Leaf Leaf vascular system",14,10,0.0470301276848666,1.32762384216062,"Yes"
"zea_mays Leaf Meristemoid",14,3,1,0,"No"
"zea_mays Leaf Mesophyll",14,7,0.309219683912775,0.509732868108803,"No"
"zea_mays Leaf Mesophyll cell",14,2,0.545113466377155,0.263513089113285,"No"
"zea_mays Leaf Pavement cell-A",14,2,1,0,"No"
"zea_mays Leaf Pavement cell-N",14,4,0.486109475406876,0.313265913431088,"No"
"zea_mays Leaf S phase",14,1,1,0,"No"
"zea_mays Leaf Subsidiary cell",14,1,1,0,"No"
"zea_mays Leaf Vascular tissue",14,4,0.330245705841434,0.481162820773222,"No"
"zea_mays Root Companion cell",14,7,0.508685337245574,0.293550780640934,"No"
"zea_mays Root Early stele",14,2,1,0,"No"
"zea_mays Root Mature endodermis",14,12,0.000222727348185204,3.65222645365878,"Yes"
"zea_mays Root Mature stele",14,1,1,0,"No"
"zea_mays Root Meristematic cell",14,5,0.892574347269927,0.04935559900928,"No"
"zea_mays Root Pericycle",14,4,1,0,"No"
"zea_mays Root Pericycle cell",14,5,0.623470872548912,0.205183831177845,"No"
"zea_mays Root Phloem",14,6,0.437567521750521,0.358954920787951,"No"
"zea_mays Root Protophloem",14,13,0.0488562892676791,1.31107952163948,"Yes"
"zea_mays Root Root cap",14,4,1,0,"No"
"zea_mays Root Root cortex",14,0,1,0,"No"
"zea_mays Root Root endodermis",14,3,1,0,"No"
"zea_mays Root Root epidermis",14,2,1,0,"No"
"zea_mays Root Root exodermis",14,3,1,0,"No"
"zea_mays Root Root hair",14,6,0.390638077771179,0.408225425769355,"No"
"zea_mays Root Root pith",14,0,1,0,"No"
"zea_mays Root Root stele",14,5,1,0,"No"
"zea_mays Root Stem cell niche",14,1,1,0,"No"
"zea_mays Root Xylem",14,8,0.0143492223611935,1.84317163435812,"Yes"
"zea_mays Shoot axis apex G2/M phase",14,4,0.972735728009886,0.0120051324512539,"No"
"zea_mays Shoot axis apex Leaf primordium",14,4,0.73731886735545,0.132344652732572,"No"
"zea_mays Shoot axis apex Leaf rim",14,2,1,0,"No"
"zea_mays Shoot axis apex S phase",14,2,1,0,"No"
"zea_mays Shoot axis apex Shoot apical meristem",14,10,0.0706715366640988,1.15075546539275,"No"
"zea_mays Shoot axis apex Shoot system epidermis",14,3,0.703674283300406,0.152628320544027,"No"
"zea_mays Shoot axis apex Vascular tissue",14,8,0.142656366359704,0.845708842210943,"No"
"arabidopsis_thaliana Flower Companion cell",2,9,0.47230852108856,0.325774219089066,"No"
"arabidopsis_thaliana Flower Cortex",2,7,0.2022541945106,0.694102462873079,"No"
"arabidopsis_thaliana Flower Early anther",2,4,0.423080488762647,0.373577002600882,"No"
"arabidopsis_thaliana Flower Epidermis",2,10,0.124573520030969,0.904574263668857,"No"
"arabidopsis_thaliana Flower Floral organ abscission zone",2,7,0.916513936596681,0.037860926729024,"No"
"arabidopsis_thaliana Flower Flower meristem",2,4,0.639423409789636,0.194211467913638,"No"
"arabidopsis_thaliana Flower Generative nuclei",2,5,0.142656366359704,0.845708842210943,"No"
"arabidopsis_thaliana Flower Guard cell",2,4,1,0,"No"
"arabidopsis_thaliana Flower Intermediate anther",2,3,0.888861255028404,0.0511660240445146,"No"
"arabidopsis_thaliana Flower Late anther",2,6,0.928831510824216,0.0320630594786326,"No"
"arabidopsis_thaliana Flower Mesophyll cell",2,6,0.00746674621108862,2.12686860975342,"Yes"
"arabidopsis_thaliana Flower Microspore nuclei",2,3,1,0,"No"
"arabidopsis_thaliana Flower Phloem",2,6,0.796244657109625,0.098953468811183,"No"
"arabidopsis_thaliana Flower Procambium",2,2,1,0,"No"
"arabidopsis_thaliana Flower Proliferating cell",2,5,1,0,"No"
"arabidopsis_thaliana Flower Sperm nuclei",2,2,1,0,"No"
"arabidopsis_thaliana Flower Vegetative nuclei",2,4,0.793935220012586,0.100214931752753,"No"
"arabidopsis_thaliana Flower Xylem parenchyma cell",2,14,0.0190119984629578,1.72097222948821,"Yes"
"arabidopsis_thaliana Inflorescence Cortex",2,10,0.0170685195971441,1.76780414488832,"Yes"
"arabidopsis_thaliana Inflorescence Flower meristem",2,4,0.162348735902802,0.789551088575244,"No"
"arabidopsis_thaliana Inflorescence G2/M phase",2,6,1,0,"No"
"arabidopsis_thaliana Inflorescence Mesophyll",2,8,0.0109516424864113,1.96052074207577,"Yes"
"arabidopsis_thaliana Inflorescence Phloem",2,8,0.7918373916575,0.101363994113112,"No"
"arabidopsis_thaliana Inflorescence S phase",2,0,1,0,"No"
"arabidopsis_thaliana Inflorescence Shoot system epidermis",2,9,0.00532889880051739,2.27336252723407,"Yes"
"arabidopsis_thaliana Inflorescence Vascular cambium",2,4,0.885822125762823,0.0526534762563913,"No"
"arabidopsis_thaliana Inflorescence Xylem",2,10,0.0692760484899752,1.15941689246793,"No"
"arabidopsis_thaliana Leaf Bundle sheath",2,14,0.123294145850376,0.909057543722479,"No"
"arabidopsis_thaliana Leaf Bundle sheath cell",2,14,0.00335544986823116,2.47424924533322,"Yes"
"arabidopsis_thaliana Leaf Companion cell",2,4,1,0,"No"
"arabidopsis_thaliana Leaf G2/M phase",2,7,1,0,"No"
"arabidopsis_thaliana Leaf Guard mother cell",2,8,1,0,"No"
"arabidopsis_thaliana Leaf Hydathode",2,8,0.486109475406876,0.313265913431088,"No"
"arabidopsis_thaliana Leaf Hydathodes",2,9,1,0,"No"
"arabidopsis_thaliana Leaf Initials",2,20,0.207983906372567,0.681970269094918,"No"
"arabidopsis_thaliana Leaf Leaf abaxial pavement cell",2,2,0.336396857878202,0.473148069391757,"No"
"arabidopsis_thaliana Leaf Leaf adaxial pavement cell",2,14,0.0225997785240356,1.64589581688183,"Yes"
"arabidopsis_thaliana Leaf Leaf epidermis",2,5,1,0,"No"
"arabidopsis_thaliana Leaf Leaf guard cell",2,10,0.161157160746694,0.792750392579922,"No"
"arabidopsis_thaliana Leaf Leaf lamina epidermis",2,5,1,0,"No"
"arabidopsis_thaliana Leaf Leaf pavement cell",2,14,0.0804045229138356,1.0947195206387,"No"
"arabidopsis_thaliana Leaf Leaf preprocambium",2,6,0.899244232795191,0.0461223388008121,"No"
"arabidopsis_thaliana Leaf Leaf vascular system",2,10,0.724315707844129,0.140072096386946,"No"
"arabidopsis_thaliana Leaf Meristematic cell",2,11,1,0,"No"
"arabidopsis_thaliana Leaf Mesophyll",2,6,0.437567521750521,0.358954920787951,"No"
"arabidopsis_thaliana Leaf Mesophyll cell",2,9,0.0146418281446054,1.8344046948933,"Yes"
"arabidopsis_thaliana Leaf Myrosinase cell",2,18,0.00672175696325291,2.1725171942507,"Yes"
"arabidopsis_thaliana Leaf Palisade mesophyll",2,8,6.11608325877478e-05,4.21352661113082,"Yes"
"arabidopsis_thaliana Leaf Phloem",2,16,0.0916908191341207,1.03767414741613,"No"
"arabidopsis_thaliana Leaf Phloem parenchyma",2,7,0.826057237832176,0.0829898592008803,"No"
"arabidopsis_thaliana Leaf Phloem parenchyma cell",2,9,0.353914449634507,0.451101705606553,"No"
"arabidopsis_thaliana Leaf Proliferating cell",2,8,0.972735728009886,0.0120051324512539,"No"
"arabidopsis_thaliana Leaf S phase",2,2,1,0,"No"
"arabidopsis_thaliana Leaf Sieve element",2,4,1,0,"No"
"arabidopsis_thaliana Leaf Spongy mesophyll",2,6,1,0,"No"
"arabidopsis_thaliana Leaf Spongy mesophyll cell",2,6,0.928831510824216,0.0320630594786326,"No"
"arabidopsis_thaliana Leaf Stomatal initial cell",2,8,0.727266229688687,0.138306578247844,"No"
"arabidopsis_thaliana Leaf Stress response",2,11,0.31440954074939,0.502504283777842,"No"
"arabidopsis_thaliana Leaf Tracheary element",2,1,1,0,"No"
"arabidopsis_thaliana Leaf Vascular tissue",2,13,0.481013695601285,0.317842558055715,"No"
"arabidopsis_thaliana Leaf Xylem",2,19,0.0278648258705082,1.55494366653973,"Yes"
"arabidopsis_thaliana Leaf Young guard cell",2,12,0.166546887468376,0.778463479261848,"No"
"arabidopsis_thaliana Root Columella",2,3,1,0,"No"
"arabidopsis_thaliana Root Columella root cap",2,5,1,0,"No"
"arabidopsis_thaliana Root Columella root cap cell",2,3,1,0,"No"
"arabidopsis_thaliana Root Companion cell",2,4,1,0,"No"
"arabidopsis_thaliana Root Cortex",2,24,0.000137410053335562,3.86198149181478,"Yes"
"arabidopsis_thaliana Root Early sieve element",2,3,1,0,"No"
"arabidopsis_thaliana Root Epidermal cell layer of the emerging lateral root",2,7,0.793935220012586,0.100214931752753,"No"
"arabidopsis_thaliana Root Explant vasculature and callus founder cell",2,24,3.81456677629575e-05,4.41855477811481,"Yes"
"arabidopsis_thaliana Root G1/G0 phase",2,0,1,0,"No"
"arabidopsis_thaliana Root G2/M phase",2,4,1,0,"No"
"arabidopsis_thaliana Root Lateral root cap",2,3,1,0,"No"
"arabidopsis_thaliana Root Lateral root cap like cell",2,3,1,0,"No"
"arabidopsis_thaliana Root Lateral root primordia",2,0,1,0,"No"
"arabidopsis_thaliana Root Meristematic cell",2,0,1,0,"No"
"arabidopsis_thaliana Root Metaphloem",2,0,1,0,"No"
"arabidopsis_thaliana Root Metaphloem sieve element",2,2,1,0,"No"
"arabidopsis_thaliana Root Metaxylem",2,17,0.0375693174859052,1.42516669460384,"Yes"
"arabidopsis_thaliana Root Non-hair",2,7,1,0,"No"
"arabidopsis_thaliana Root Non-hair root epidermal cell",2,11,0.089226898103662,1.04950420462556,"No"
"arabidopsis_thaliana Root Pericycle",2,10,0.224872198481109,0.648064234171236,"No"
"arabidopsis_thaliana Root Pericycle cell",2,14,0.0158060570835762,1.80117645393941,"Yes"
"arabidopsis_thaliana Root Phloem",2,5,1,0,"No"
"arabidopsis_thaliana Root Phloem parenchyma",2,22,0.00126706495367024,2.8972011212669,"Yes"
"arabidopsis_thaliana Root Phloem pole pericycle",2,11,0.089226898103662,1.04950420462556,"No"
"arabidopsis_thaliana Root Phloem pole pericycle cell",2,9,0.811842173700391,0.0905283916370913,"No"
"arabidopsis_thaliana Root Phloem/Pericycle",2,12,0.0458342973165789,1.3388094224108,"Yes"
"arabidopsis_thaliana Root Pholem",2,10,0.830595902036563,0.0806102159269569,"No"
"arabidopsis_thaliana Root Photosynthetic cell",2,5,0.041205771694773,1.38504194805347,"Yes"
"arabidopsis_thaliana Root Primary phloem",2,15,0.0153832311177788,1.81295243506513,"Yes"
"arabidopsis_thaliana Root Primary xylem",2,11,0.183629469239405,0.736057621059323,"No"
"arabidopsis_thaliana Root Proliferating cell",2,9,1,0,"No"
"arabidopsis_thaliana Root Protophloem",2,8,0.455779511568535,0.34124520134239,"No"
"arabidopsis_thaliana Root Protophloem sieve element",2,1,1,0,"No"
"arabidopsis_thaliana Root Protoxylem",2,3,1,0,"No"
"arabidopsis_thaliana Root Quiescent center",2,1,1,0,"No"
"arabidopsis_thaliana Root Root cap",2,11,0.490538458036518,0.309326938420001,"No"
"arabidopsis_thaliana Root Root cortex",2,23,0.000346830945157143,3.45988216058618,"Yes"
"arabidopsis_thaliana Root Root endodermis",2,16,0.0359224988762527,1.44463346013335,"Yes"
"arabidopsis_thaliana Root Root epidermis",2,16,0.0148630214101859,1.82789289660575,"Yes"
"arabidopsis_thaliana Root Root hair",2,13,0.0978188235334873,1.00957756474094,"No"
"arabidopsis_thaliana Root Root hair cell",2,2,0.73731886735545,0.132344652732572,"No"
"arabidopsis_thaliana Root Root initial cell",2,3,1,0,"No"
"arabidopsis_thaliana Root Root meristem",2,0,1,0,"No"
"arabidopsis_thaliana Root Root procambium",2,7,0.762562002164275,0.117724839059095,"No"
"arabidopsis_thaliana Root Root stele",2,17,0.0164806009165839,1.78302695708074,"Yes"
"arabidopsis_thaliana Root S phase",2,2,1,0,"No"
"arabidopsis_thaliana Root Sieve element",2,1,1,0,"No"
"arabidopsis_thaliana Root Stem cell niche",2,1,1,0,"No"
"arabidopsis_thaliana Root Xylem",2,5,1,0,"No"
"arabidopsis_thaliana Root Xylem pole pericycle",2,11,0.692170268499375,0.159787059338297,"No"
"arabidopsis_thaliana Root Xylem pole pericycle cell",2,15,0.554178545869127,0.25635029124055,"No"
"arabidopsis_thaliana Seed Columella initial cell",2,3,0.928924714813471,0.0320194822022382,"No"
"arabidopsis_thaliana Seed Dividing protoderm",2,21,0.000336866420606486,3.47254227804272,"Yes"
"arabidopsis_thaliana Seed Hypocotyl",2,3,0.928924714813471,0.0320194822022382,"No"
"arabidopsis_thaliana Seed Plant embryo cotyledon",2,3,0.888861255028404,0.0511660240445146,"No"
"arabidopsis_thaliana Seed Radicle",2,11,0.289701140813797,0.538049794585118,"No"
"arabidopsis_thaliana Seed Shoot meristem initial cell",2,0,1,0,"No"
"arabidopsis_thaliana Seed Suspensor",2,3,0.782976392973753,0.106251331883038,"No"
"arabidopsis_thaliana Seed Vascular initial cell",2,4,1,0,"No"
"arabidopsis_thaliana Shoot axis apex Companion cell",2,8,1,0,"No"
"arabidopsis_thaliana Shoot axis apex G2/M phase",2,7,1,0,"No"
"arabidopsis_thaliana Shoot axis apex Guard cell",2,13,0.411131329358241,0.386019427503332,"No"
"arabidopsis_thaliana Shoot axis apex Mesophyll",2,9,1.06980543032414e-05,4.97069520195995,"Yes"
"arabidopsis_thaliana Shoot axis apex S phase",2,1,1,0,"No"
"arabidopsis_thaliana Shoot axis apex Shoot apical meristem",2,15,0.123294145850376,0.909057543722479,"No"
"arabidopsis_thaliana Shoot axis apex Shoot system epidermis",2,11,0.267331384114371,0.572950053036967,"No"
"arabidopsis_thaliana Shoot axis apex Vascular tissue",2,12,0.525235771504351,0.279645703683255,"No"
"arabidopsis_thaliana Stem Companion cell",2,8,0.486109475406876,0.313265913431088,"No"
"arabidopsis_thaliana Stem G2/M-phase cell",2,5,1,0,"No"
"arabidopsis_thaliana Stem Guard cell",2,2,1,0,"No"
"arabidopsis_thaliana Stem Leaf guard cell",2,10,0.224872198481109,0.648064234171236,"No"
"arabidopsis_thaliana Stem Mesophyll cell",2,9,2.3861008230908e-06,5.62231120945575,"Yes"
"arabidopsis_thaliana Stem Proliferating cell",2,4,1,0,"No"
"arabidopsis_thaliana Stem S-phase cell",2,2,1,0,"No"
"arabidopsis_thaliana Stem Shoot apical meristem",2,1,1,0,"No"
"arabidopsis_thaliana Stem Shoot parenchyma",2,10,0.32037442443489,0.494342161033921,"No"
"arabidopsis_thaliana Stem Shoot system cortex",2,15,0.0643716545439421,1.19130532806119,"No"
"arabidopsis_thaliana Stem Shoot system endodermis",2,14,0.0896766761384853,1.04732049721802,"No"
"arabidopsis_thaliana Stem Shoot system epidermis",2,6,0.396913790563027,0.401303811495007,"No"
"arabidopsis_thaliana Stem Shoot system vascular system",2,7,0.986126282022215,0.00606746632282217,"No"
"arabidopsis_thaliana Stem Sieve element",2,4,1,0,"No"
"arabidopsis_thaliana Stem Xylem",2,9,1,0,"No"
"brassica_rapa Leaf Bundle sheath",2,20,0.000680124910818805,3.16741131803278,"Yes"
"brassica_rapa Leaf Bundle sheath cell",2,12,0.0155590134138674,1.8080179447819,"Yes"
"brassica_rapa Leaf Leaf epidermis",2,5,1,0,"No"
"brassica_rapa Leaf Leaf guard cell",2,4,1,0,"No"
"brassica_rapa Leaf Leaf lamina epidermis",2,3,1,0,"No"
"brassica_rapa Leaf Leaf vascular system",2,11,0.1015590762048,0.993281258182151,"No"
"brassica_rapa Leaf Meristematic cell",2,9,1,0,"No"
"brassica_rapa Leaf Mesophyll",2,4,0.0140929770152508,1.85099725637755,"Yes"
"brassica_rapa Leaf Mesophyll cell",2,7,0.000332535457812097,3.47816203965077,"Yes"
"brassica_rapa Leaf Phloem",2,2,1,0,"No"
"brassica_rapa Leaf Proliferating cell",2,9,0.44346012472383,0.353145425191823,"No"
"brassica_rapa Leaf Vascular tissue",2,17,0.0537069615243117,1.2699694171749,"No"
"brassica_rapa Leaf Xylem",2,5,1,0,"No"
"catharanthus_roseus Leaf Idioblast cell",2,32,7.02327399714345e-12,11.1534603882367,"Yes"
"catharanthus_roseus Leaf Leaf epidermis",2,12,0.353179446110356,0.45200457887871,"No"
"catharanthus_roseus Leaf Leaf guard cell",2,10,0.510262400133152,0.292206432483589,"No"
"catharanthus_roseus Leaf Leaf lamina epidermis",2,6,0.474403306209745,0.32385229294977,"No"
"catharanthus_roseus Leaf Leaf vascular system",2,9,0.298426700289003,0.525162323057863,"No"
"catharanthus_roseus Leaf Meristematic cell",2,10,1,0,"No"
"catharanthus_roseus Leaf Mesophyll",2,6,0.121806079531714,0.914331034846134,"No"
"catharanthus_roseus Leaf Mesophyll cell",2,5,0.111409851111913,0.953076406160575,"No"
"catharanthus_roseus Leaf Phloem parenchyma",2,11,0.84521251289428,0.0730340820874095,"No"
"catharanthus_roseus Leaf Phloem parenchyma cell",2,6,0.245728636681349,0.609544228835402,"No"
"catharanthus_roseus Leaf Proliferating cell",2,7,0.916513936596681,0.037860926729024,"No"
"catharanthus_roseus Leaf Vascular tissue",2,23,0.00485003959748127,2.31425471564569,"Yes"
"fragaria_vesca Leaf Abaxial epidermis",2,13,0.0978188235334873,1.00957756474094,"No"
"fragaria_vesca Leaf Adaxial epidermis",2,20,0.0113321725904859,1.94568681973889,"Yes"
"fragaria_vesca Leaf Hydathode",2,2,1,0,"No"
"fragaria_vesca Leaf Hydathodes",2,9,0.894226829191931,0.0485523042787501,"No"
"fragaria_vesca Leaf Leaf lamina abaxial epidermis",2,11,0.0339048206899542,1.46973854810365,"Yes"
"fragaria_vesca Leaf Leaf lamina adaxial epidermis",2,10,0.2022541945106,0.694102462873079,"No"
"fragaria_vesca Leaf Meristematic cell",2,12,0.662888955671708,0.178559216660235,"No"
"fragaria_vesca Leaf Mesophyll",2,6,0.280557752520277,0.551977726139782,"No"
"fragaria_vesca Leaf Mesophyll cell",2,5,0.968361095101508,0.0139626671052947,"No"
"fragaria_vesca Leaf Phloem",2,5,1,0,"No"
"fragaria_vesca Leaf Xylem",2,21,0.0023880905020314,2.62194921866995,"Yes"
"fragaria_vesca Leaf Xylem parenchyma",2,26,0.00013672429323957,3.86415431291912,"Yes"
"fragaria_vesca Leaf Xylem parenchyma cell",2,13,0.0671813674236687,1.17275116068325,"No"
"glycine_max Flower Cortex",2,0,1,0,"No"
"glycine_max Flower Epidermis",2,4,0.951997057062502,0.02136439416121,"No"
"glycine_max Flower Flower meristem",2,7,0.434096983864866,0.362413231658181,"No"
"glycine_max Flower Mesophyll cell",2,3,1,0,"No"
"glycine_max Flower Procambium",2,2,1,0,"No"
"glycine_max Flower Proliferating cell",2,1,1,0,"No"
"glycine_max Leaf Bundle sheath cell",2,7,0.689575936157502,0.161417902311471,"No"
"glycine_max Leaf Companion cell",2,3,1,0,"No"
"glycine_max Leaf Hydathode",2,7,0.986126282022215,0.00606746632282217,"No"
"glycine_max Leaf Leaf guard cell",2,2,0.988361895618441,0.00508400633110891,"No"
"glycine_max Leaf Leaf lamina epidermis",2,4,0.746584646017889,0.126920945856637,"No"
"glycine_max Leaf Leaf senescing cell",2,4,1,0,"No"
"glycine_max Leaf Leaf vascular system",2,3,1,0,"No"
"glycine_max Leaf Mesophyll cell",2,7,0.231316794896103,0.635792833870517,"No"
"glycine_max Leaf Proliferating cell",2,3,1,0,"No"
"glycine_max Root Pericycle cell",2,2,1,0,"No"
"glycine_max Root Phloem",2,7,1,0,"No"
"glycine_max Root Phloem fiber cell",2,2,1,0,"No"
"glycine_max Root Proliferating cell",2,1,1,0,"No"
"glycine_max Root Root cap",2,5,0.939214357704118,0.0272352770163816,"No"
"glycine_max Root Root cortex",2,8,0.391264287374843,0.407529790494021,"No"
"glycine_max Root Root endodermis",2,3,1,0,"No"
"glycine_max Root Root epidermis",2,3,1,0,"No"
"glycine_max Root Root hair cell",2,7,0.572492721715514,0.242230030278699,"No"
"glycine_max Root Root nodule",2,3,0.968755545568968,0.0137857983921021,"No"
"glycine_max Root Root procambium",2,2,1,0,"No"
"glycine_max Root Root vascular system",2,2,1,0,"No"
"glycine_max Root Xylem",2,8,0.358463771662193,0.445554729988489,"No"
"glycine_max Seed Embryo epidermal cell",2,4,0.639423409789636,0.194211467913638,"No"
"glycine_max Seed Endosperm",2,2,1,0,"No"
"glycine_max Seed Inner integument",2,2,1,0,"No"
"glycine_max Seed Outer integument",2,4,0.746584646017889,0.126920945856637,"No"
"glycine_max Seed Plant embryo",2,8,0.00480785964213392,2.31804821936149,"Yes"
