"reference_cluster","species","tissue","ref_numOMG","query_cluster","query_numOMG","num_common_OMG","FDR","test"
"Phloem","sorghum_bicolor","Root",162,4,118,23,1.77451306607047e-10,"Reject"
"RC_Col_QC","solanum_lycopersicum","Root",183,1,108,41,3.00871627981836e-10,"Reject"
"Photosynthetic cell","populus_alba_var_pyramidalis","Stem",188,3,165,27,3.36096622505956e-10,"Reject"
"Phloem","fragaria_vesca","Leaf",135,4,118,29,3.76692235760369e-10,"Reject"
"Leaf guard cell","catharanthus_roseus","Leaf",107,8,149,39,6.57492631713304e-10,"Reject"
"Columella root cap cell","triticum_aestivum","Root",149,3,165,22,8.46370615762288e-10,"Reject"
"Root system ground meristem","triticum_aestivum","Root",86,8,149,22,8.46370615762288e-10,"Reject"
"Mesophyll cell","fragaria_vesca","Leaf",147,8,149,22,8.51796499312683e-10,"Reject"
"Root apical meristem","medicago_truncatula","Root",174,8,149,27,8.97180737348545e-10,"Reject"
"Sieve element","arabidopsis_thaliana","Leaf",131,14,85,20,9.15945569906161e-10,"Reject"
"Metaxylem","manihot_esculenta","Tuberous root",178,1,108,48,9.94704817051069e-10,"Reject"
"Root cortex","manihot_esculenta","Tuberous root",178,4,118,32,1.18449239939515e-09,"Reject"
"Root stele","zea_mays","Root",140,1,108,53,1.2192331350347e-09,"Reject"
"Phloem","oryza_sativa","Root;Leaf",186,4,118,26,1.23823985532585e-09,"Reject"
"Primary xylem","arabidopsis_thaliana","Root",82,10,140,31,2.0478106877042e-09,"Reject"
"Protophloem sieve element","arabidopsis_thaliana","Root",136,14,85,16,2.0478106877042e-09,"Reject"
"Proliferating cell","catharanthus_roseus","Leaf",95,1,108,26,2.36909645757299e-09,"Reject"
"Phloem","oryza_sativa","Root",87,4,118,21,3.41083310562363e-09,"Reject"
"Companion cell","arabidopsis_thaliana","Root",67,4,118,21,3.72319336770368e-09,"Reject"
"Sieve element","arabidopsis_thaliana","Root",82,14,85,16,3.72319336770368e-09,"Reject"
"Phloem","brassica_rapa","Leaf",127,14,85,19,3.75001448313976e-09,"Reject"
