"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.22733106484329e-63,0.477688789721383,0.266,0.22,2.04337414230703e-58,"0","Potri.006G254100"
3.98526764936408e-62,0.487896638389786,0.251,0.205,1.30768587378583e-57,"0","Potri.001G373700"
2.50036350468288e-59,0.449114725504183,0.281,0.236,8.20444276791595e-55,"0","Potri.016G137300"
1.59106375474166e-58,0.32153280040905,0.487,0.455,5.22075749843382e-54,"0","Potri.002G108000"
2.95198530603939e-58,0.362888335201255,0.392,0.352,9.68634938470704e-54,"0","Potri.008G199200"
1.06121649114216e-54,0.388032037090116,0.323,0.28,3.48216967238476e-50,"0","Potri.001G236400"
1.12058706359202e-53,0.366988585482656,0.324,0.279,3.67698233176449e-49,"0","Potri.004G021500"
5.79773122284878e-53,0.454919875629012,0.255,0.213,1.90240954615337e-48,"0","Potri.002G173700"
1.8163964694218e-51,0.422698066299224,0.266,0.223,5.96014173511375e-47,"0","Potri.019G039700"
6.45687732542706e-51,0.332829022887885,0.361,0.321,2.11869515679238e-46,"0","Potri.005G141100"
6.64843549765369e-50,0.329262793458634,0.359,0.317,2.1815511398451e-45,"0","Potri.009G114400"
1.28991031416963e-48,0.388376623863802,0.256,0.214,4.23258271388481e-44,"0","Potri.008G119800"
1.35796833233678e-48,0.273088355312952,0.437,0.396,4.45590148889667e-44,"0","Potri.011G087200"
1.15855033660539e-46,0.354716648204986,0.601,0.58,3.80155121950328e-42,"0","Potri.T011200"
1.3584520962417e-44,0.394359994669237,0.296,0.259,4.4574888633979e-40,"0","Potri.019G034500"
2.83774227607701e-41,0.262648076134457,0.272,0.231,9.31148373049148e-37,"0","Potri.015G024200"
6.79333060401183e-40,0.326871785216114,0.345,0.311,2.2290955710944e-35,"0","Potri.006G165700"
1.54807302807269e-39,0.38947210901619,0.311,0.279,5.07969202701493e-35,"0","Potri.018G106800"
5.32850633736948e-34,0.26216735808646,0.348,0.314,1.74844278448105e-29,"0","Potri.001G347700"
3.92203737836383e-33,0.327421533094227,0.303,0.271,1.28693812496252e-28,"0","Potri.006G044600"
1.42508060960926e-31,0.294619374763462,0.334,0.304,4.67611700431086e-27,"0","Potri.015G143700"
1.00680087189479e-29,0.313763236222308,0.256,0.224,3.30361570094836e-25,"0","Potri.008G117300"
1.23733483853402e-29,0.274998544968077,0.304,0.272,4.06006680568168e-25,"0","Potri.002G030000"
1.13025140760884e-26,0.417894532089732,0.273,0.246,3.70869394378687e-22,"0","Potri.002G029100"
6.3540468587107e-25,0.295250870413862,0.318,0.294,2.08495339574874e-20,"0","Potri.001G373400"
8.61181091029667e-21,0.324859968439398,0.251,0.228,2.82579351399565e-16,"0","Potri.018G008500"
4.90145844453692e-20,0.279422639974464,0.269,0.246,1.6083155594059e-15,"0","Potri.004G117800"
3.02761987895564e-19,0.309474696208162,0.266,0.245,9.93452910881713e-15,"0","Potri.017G086500"
4.41290950264481e-17,0.256206056865423,0.287,0.267,1.44800799510284e-12,"0","Potri.007G049800"
6.5172515171441e-14,0.269527283126269,0.283,0.267,2.13850574032049e-09,"0","Potri.010G205800"
6.83223590721234e-14,0.251205452760166,0.267,0.251,2.24186156823359e-09,"0","Potri.002G189000"
5.90993180224603e-12,0.261923247601627,0.255,0.24,1.93922592227099e-07,"0","Potri.010G223100"
0,2.91861319978958,0.483,0.131,0,"1","Potri.002G028800"
0,1.68378406803553,0.539,0.207,0,"1","Potri.016G061100"
0,1.42765418657479,0.724,0.395,0,"1","Potri.004G185800"
0,1.5737429654275,0.567,0.24,0,"1","Potri.006G021500"
0,1.44310525676751,0.61,0.284,0,"1","Potri.002G140400"
0,1.52821928976892,0.568,0.246,0,"1","Potri.005G093100"
0,1.5472556043133,0.56,0.242,0,"1","Potri.002G242600"
0,1.30297049170181,0.688,0.37,0,"1","Potri.006G052400"
0,1.39767552362806,0.606,0.29,0,"1","Potri.012G128300"
0,1.31934998236549,0.664,0.349,0,"1","Potri.010G212300"
0,1.31703262272425,0.727,0.412,0,"1","Potri.008G171200"
0,1.46064498707445,0.56,0.246,0,"1","Potri.019G099000"
0,1.37618502470869,0.596,0.286,0,"1","Potri.004G202832"
0,1.27159604357443,0.674,0.365,0,"1","Potri.002G249000"
0,1.42539299253216,0.567,0.258,0,"1","Potri.001G271500"
0,1.93510319274653,0.445,0.137,0,"1","Potri.010G194200"
0,1.46303848974052,0.546,0.241,0,"1","Potri.006G197700"
0,1.27424002318883,0.705,0.4,0,"1","Potri.019G057000"
0,1.31656933694891,0.6,0.296,0,"1","Potri.014G191000"
0,1.26171554116226,0.643,0.34,0,"1","Potri.016G084400"
0,1.77454150821527,0.464,0.162,0,"1","Potri.009G149400"
0,1.22556698374428,0.644,0.343,0,"1","Potri.002G051300"
0,1.31065076583506,0.649,0.349,0,"1","Potri.008G042500"
0,1.72757864595349,0.459,0.16,0,"1","Potri.004G188800"
0,1.19140437304884,0.707,0.408,0,"1","Potri.009G065800"
0,1.36909866836718,0.581,0.283,0,"1","Potri.009G064100"
0,1.23087944564163,0.63,0.332,0,"1","Potri.010G191200"
0,1.41105829243022,0.529,0.234,0,"1","Potri.010G210300"
